___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  30  24 -121.00  -43.00        0.1475
  31  24 -119.00  -43.00        0.1563
  32  24 -117.00  -43.00        0.1554
  33  24 -115.00  -43.00        0.1546
  34  24 -113.00  -43.00        0.1534
  35  24 -111.00  -43.00        0.1521
  36  24 -109.00  -43.00        0.1507
  37  24 -107.00  -43.00        0.1010
  38  24 -105.00  -43.00        0.0408
  39  24 -103.00  -43.00       -0.0194
  40  24 -101.00  -43.00       -0.0828
  41  24  -99.00  -43.00       -0.0964
  42  24  -97.00  -43.00       -0.1100
  43  24  -95.00  -43.00       -0.0684
  44  24  -93.00  -43.00       -0.0552
  45  24  -91.00  -43.00       -0.0421
  46  24  -89.00  -43.00       -0.1353
  47  24  -87.00  -43.00       -0.0877
  48  24  -85.00  -43.00       -0.0401
  49  24  -83.00  -43.00        0.0901
  50  24  -81.00  -43.00        0.0593
  51  24  -79.00  -43.00        0.0285
  52  24  -77.00  -43.00       -0.0523
  53  24  -75.00  -43.00       -0.0494
  54  24  -73.00  -43.00       -0.0465
  55  24  -71.00  -43.00        2.5144
  56  24  -69.00  -43.00        2.8258
  57  24  -67.00  -43.00        3.1371
  58  24  -65.00  -43.00        0.5237
  59  24  -63.00  -43.00        0.6946
  60  24  -61.00  -43.00        0.8656
  61  24  -59.00  -43.00        0.9860
  62  24  -57.00  -43.00        1.0102
  63  24  -55.00  -43.00        1.0344
  64  24  -53.00  -43.00        1.0347
  65  24  -51.00  -43.00        1.0722
  66  24  -49.00  -43.00        1.1098
  67  24  -47.00  -43.00        1.2214
  68  24  -45.00  -43.00        1.3011
  69  24  -43.00  -43.00        1.3807
  70  24  -41.00  -43.00        1.4232
  71  24  -39.00  -43.00        1.3316
  72  24  -37.00  -43.00        1.2400
  73  24  -35.00  -43.00        1.1211
  74  24  -33.00  -43.00        1.1193
  75  24  -31.00  -43.00        1.1175
  76  24  -29.00  -43.00        1.1465
  77  24  -27.00  -43.00        1.1921
  78  24  -25.00  -43.00        1.2377
  79  24  -23.00  -43.00        1.3278
  80  24  -21.00  -43.00        1.3415
  81  24  -19.00  -43.00        1.3552
  82  24  -17.00  -43.00        1.3088
  83  24  -15.00  -43.00        1.2741
  84  24  -13.00  -43.00        1.2395
  85  24  -11.00  -43.00        1.3866
  86  24   -9.00  -43.00        1.3065
  87  24   -7.00  -43.00        1.2264
  88  24   -5.00  -43.00        1.1388
  89  24   -3.00  -43.00        1.0917
  90  24   -1.00  -43.00        1.0445
  91  24    1.00  -43.00        0.9832
  92  24    3.00  -43.00        0.9626
  93  24    5.00  -43.00        0.9420
  94  24    7.00  -43.00        0.9560
  95  24    9.00  -43.00        0.9682
  96  24   11.00  -43.00        0.9805
  97  24   13.00  -43.00        0.9439
  98  24   15.00  -43.00        0.8376
  99  24   17.00  -43.00        0.7313
 100  24   19.00  -43.00        0.5928
 101  24   21.00  -43.00        0.5441
 102  24   23.00  -43.00        0.4955
 103  24   25.00  -43.00        0.3238
 104  24   27.00  -43.00        0.2689
 105  24   29.00  -43.00        0.2141
 106  24   31.00  -43.00        0.2900
 107  24   33.00  -43.00        0.3069
 108  24   35.00  -43.00        0.3239
 109  24   37.00  -43.00        0.2342
 110  24   39.00  -43.00        0.1815
 111  24   41.00  -43.00        0.1288
 112  24   43.00  -43.00        0.1248
 113  24   45.00  -43.00        0.1653
 114  24   47.00  -43.00        0.2058
 115  24   49.00  -43.00        0.3448
 116  24   51.00  -43.00        0.4976
 117  24   53.00  -43.00        0.6505
 118  24   55.00  -43.00        0.8604
 119  24   57.00  -43.00        0.9168
 120  24   59.00  -43.00        0.9731
 121  24   61.00  -43.00        1.0454
 122  24   63.00  -43.00        1.1224
 123  24   65.00  -43.00        1.1994
 124  24   67.00  -43.00        1.2513
 125  24   69.00  -43.00        1.2049
 126  24   71.00  -43.00        1.1584
 127  24   73.00  -43.00        1.1341
 128  24   75.00  -43.00        1.1172
 129  24   77.00  -43.00        1.1003
 130  24   79.00  -43.00        0.9866
 131  24   81.00  -43.00        0.9139
 132  24   83.00  -43.00        0.8413
 133  24   85.00  -43.00        0.7477
 134  24   87.00  -43.00        0.6543
 135  24   89.00  -43.00        0.5608
 136  24   91.00  -43.00        0.4277
 137  24   93.00  -43.00        0.4020
 138  24   95.00  -43.00        0.3763
 139  24   97.00  -43.00        0.3277
 140  24   99.00  -43.00        0.2741
 141  24  101.00  -43.00        0.2205
 142  24  103.00  -43.00        0.1113
 143  24  105.00  -43.00        0.0774
 144  24  107.00  -43.00        0.0434
 145  24  109.00  -43.00        0.0220
 146  24  111.00  -43.00        0.0410
 147  24  113.00  -43.00        0.0601
 148  24  115.00  -43.00        0.0963
 149  24  117.00  -43.00        0.1354
 150  24  119.00  -43.00        0.1746
 151  24  121.00  -43.00        0.2664
 152  24  123.00  -43.00        0.3036
 153  24  125.00  -43.00        0.3408
 154  24  127.00  -43.00        0.3909
 155  24  129.00  -43.00        0.4481
 156  24  131.00  -43.00        0.5053
 157  24  133.00  -43.00        0.5998
 158  24  135.00  -43.00        0.6451
 159  24  137.00  -43.00        0.6903
 160  24  139.00  -43.00        0.7706
 161  24  141.00  -43.00        0.8091
 162  24  143.00  -43.00        0.8477
 163  24  145.00  -43.00        0.3983
 164  24  147.00  -43.00        0.3270
 165  24  149.00  -43.00        0.2558
 166  24  151.00  -43.00        0.8060
 167  24  153.00  -43.00        0.8275
 168  24  155.00  -43.00        0.8490
 169  24  157.00  -43.00        0.8945
 170  24  159.00  -43.00        0.9231
 171  24  161.00  -43.00        0.9517
 172  24  163.00  -43.00        0.9930
 173  24  165.00  -43.00        1.0103
 174  24  167.00  -43.00        1.0276
 175  24  169.00  -43.00        1.0605
 176  24  171.00  -43.00        1.0008
 177  24  173.00  -43.00        0.9411
 178  24  175.00  -43.00        1.0322
 179  24  177.00  -43.00        1.0237
 180  24  179.00  -43.00        1.0152
   1  25 -179.00  -41.00        1.1102
   2  25 -177.00  -41.00        1.1051
   3  25 -175.00  -41.00        1.1000
   4  25 -173.00  -41.00        1.0762
   5  25 -171.00  -41.00        1.0769
   6  25 -169.00  -41.00        1.0775
   7  25 -167.00  -41.00        1.0600
   8  25 -165.00  -41.00        1.0224
   9  25 -163.00  -41.00        0.9847
  10  25 -161.00  -41.00        0.9021
  11  25 -159.00  -41.00        0.8691
  12  25 -157.00  -41.00        0.8361
  13  25 -155.00  -41.00        0.7844
  14  25 -153.00  -41.00        0.7488
  15  25 -151.00  -41.00        0.7131
  16  25 -149.00  -41.00        0.6477
  17  25 -147.00  -41.00        0.6137
  18  25 -145.00  -41.00        0.5797
  19  25 -143.00  -41.00        0.5622
  20  25 -141.00  -41.00        0.5909
  21  25 -139.00  -41.00        0.6197
  22  25 -137.00  -41.00        0.6714
  23  25 -135.00  -41.00        0.6789
  24  25 -133.00  -41.00        0.6864
  25  25 -131.00  -41.00        0.6604
  26  25 -129.00  -41.00        0.6332
  27  25 -127.00  -41.00        0.6060
  28  25 -125.00  -41.00        0.5683
  29  25 -123.00  -41.00        0.5464
  30  25 -121.00  -41.00        0.5244
  31  25 -119.00  -41.00        0.4801
  32  25 -117.00  -41.00        0.4823
  33  25 -115.00  -41.00        0.4844
  34  25 -113.00  -41.00        0.5133
  35  25 -111.00  -41.00        0.5099
  36  25 -109.00  -41.00        0.5064
  37  25 -107.00  -41.00        0.4103
  38  25 -105.00  -41.00        0.3227
  39  25 -103.00  -41.00        0.2350
  40  25 -101.00  -41.00        0.1104
  41  25  -99.00  -41.00        0.0675
  42  25  -97.00  -41.00        0.0246
  43  25  -95.00  -41.00        0.0154
  44  25  -93.00  -41.00       -0.0113
  45  25  -91.00  -41.00       -0.0380
  46  25  -89.00  -41.00       -0.1444
  47  25  -87.00  -41.00       -0.0616
  48  25  -85.00  -41.00        0.0213
  49  25  -83.00  -41.00        0.2127
  50  25  -81.00  -41.00        0.1683
  51  25  -79.00  -41.00        0.1240
  52  25  -77.00  -41.00       -0.0063
  53  25  -75.00  -41.00        0.4367
  54  25  -73.00  -41.00        0.8796
  55  25  -71.00  -41.00        1.5559
  56  25  -69.00  -41.00        1.4512
  57  25  -67.00  -41.00        1.3465
  58  25  -65.00  -41.00        0.9875
  59  25  -63.00  -41.00        1.0230
  60  25  -61.00  -41.00        1.0585
  61  25  -59.00  -41.00        1.2776
  62  25  -57.00  -41.00        1.3233
  63  25  -55.00  -41.00        1.3690
  64  25  -53.00  -41.00        1.2710
  65  25  -51.00  -41.00        1.2314
  66  25  -49.00  -41.00        1.1917
  67  25  -47.00  -41.00        1.2126
  68  25  -45.00  -41.00        1.2540
  69  25  -43.00  -41.00        1.2953
  70  25  -41.00  -41.00        1.3123
  71  25  -39.00  -41.00        1.2152
  72  25  -37.00  -41.00        1.1182
  73  25  -35.00  -41.00        0.9883
  74  25  -33.00  -41.00        0.9902
  75  25  -31.00  -41.00        0.9922
  76  25  -29.00  -41.00        0.9993
  77  25  -27.00  -41.00        1.0221
  78  25  -25.00  -41.00        1.0450
  79  25  -23.00  -41.00        1.1298
  80  25  -21.00  -41.00        1.1727
  81  25  -19.00  -41.00        1.2157
  82  25  -17.00  -41.00        1.2518
  83  25  -15.00  -41.00        1.2762
  84  25  -13.00  -41.00        1.3006
  85  25  -11.00  -41.00        5.5848
  86  25   -9.00  -41.00        3.4311
  87  25   -7.00  -41.00        1.2775
  88  25   -5.00  -41.00        1.1686
  89  25   -3.00  -41.00        1.1344
  90  25   -1.00  -41.00        1.1002
  91  25    1.00  -41.00        1.0515
  92  25    3.00  -41.00        1.0343
  93  25    5.00  -41.00        1.0171
  94  25    7.00  -41.00        1.0368
  95  25    9.00  -41.00        1.0584
  96  25   11.00  -41.00        1.0800
  97  25   13.00  -41.00        1.0422
  98  25   15.00  -41.00        0.9088
  99  25   17.00  -41.00        0.7754
 100  25   19.00  -41.00        0.5797
 101  25   21.00  -41.00        0.5148
 102  25   23.00  -41.00        0.4500
 103  25   25.00  -41.00        0.2664
 104  25   27.00  -41.00        0.2321
 105  25   29.00  -41.00        0.1978
 106  25   31.00  -41.00        0.3143
 107  25   33.00  -41.00        0.3205
 108  25   35.00  -41.00        0.3267
 109  25   37.00  -41.00        0.2314
 110  25   39.00  -41.00        0.2036
 111  25   41.00  -41.00        0.1757
 112  25   43.00  -41.00        0.1676
 113  25   45.00  -41.00        0.2019
 114  25   47.00  -41.00        0.2361
 115  25   49.00  -41.00        0.4054
 116  25   51.00  -41.00        0.5567
 117  25   53.00  -41.00        0.7079
 118  25   55.00  -41.00        0.8977
 119  25   57.00  -41.00        0.9730
 120  25   59.00  -41.00        1.0482
 121  25   61.00  -41.00        1.1589
 122  25   63.00  -41.00        1.2311
 123  25   65.00  -41.00        1.3033
 124  25   67.00  -41.00        1.3616
 125  25   69.00  -41.00        1.3297
 126  25   71.00  -41.00        1.2978
 127  25   73.00  -41.00        1.2571
 128  25   75.00  -41.00        1.2338
 129  25   77.00  -41.00        1.2106
 130  25   79.00  -41.00        1.0975
 131  25   81.00  -41.00        1.0042
 132  25   83.00  -41.00        0.9109
 133  25   85.00  -41.00        0.7563
 134  25   87.00  -41.00        0.6578
 135  25   89.00  -41.00        0.5592
 136  25   91.00  -41.00        0.4338
 137  25   93.00  -41.00        0.3792
 138  25   95.00  -41.00        0.3246
 139  25   97.00  -41.00        0.2280
 140  25   99.00  -41.00        0.1848
 141  25  101.00  -41.00        0.1417
 142  25  103.00  -41.00        0.0902
 143  25  105.00  -41.00        0.0569
 144  25  107.00  -41.00        0.0236
 145  25  109.00  -41.00       -0.0142
 146  25  111.00  -41.00       -0.0072
 147  25  113.00  -41.00       -0.0002
 148  25  115.00  -41.00        0.0385
 149  25  117.00  -41.00        0.0824
 150  25  119.00  -41.00        0.1263
 151  25  121.00  -41.00        0.2071
 152  25  123.00  -41.00        0.2357
 153  25  125.00  -41.00        0.2643
 154  25  127.00  -41.00        0.3202
 155  25  129.00  -41.00        0.3856
 156  25  131.00  -41.00        0.4509
 157  25  133.00  -41.00        0.5796
 158  25  135.00  -41.00        0.6392
 159  25  137.00  -41.00        0.6987
 160  25  139.00  -41.00        0.7793
 161  25  141.00  -41.00        0.8157
 162  25  143.00  -41.00        0.8521
 163  25  145.00  -41.00        0.4832
 164  25  147.00  -41.00        0.4547
 165  25  149.00  -41.00        0.4262
 166  25  151.00  -41.00        0.7501
 167  25  153.00  -41.00        0.7745
 168  25  155.00  -41.00        0.7988
 169  25  157.00  -41.00        0.8510
 170  25  159.00  -41.00        0.8833
 171  25  161.00  -41.00        0.9155
 172  25  163.00  -41.00        0.9624
 173  25  165.00  -41.00        0.9931
 174  25  167.00  -41.00        1.0238
 175  25  169.00  -41.00        1.0875
 176  25  171.00  -41.00        1.3558
 177  25  173.00  -41.00        1.6241
 178  25  175.00  -41.00        1.7613
 179  25  177.00  -41.00        1.4276
 180  25  179.00  -41.00        1.0939
   1  26 -179.00  -39.00        1.1367
   2  26 -177.00  -39.00        1.1444
   3  26 -175.00  -39.00        1.1520
   4  26 -173.00  -39.00        1.1441
   5  26 -171.00  -39.00        1.1467
   6  26 -169.00  -39.00        1.1492
   7  26 -167.00  -39.00        1.1438
   8  26 -165.00  -39.00        1.1180
   9  26 -163.00  -39.00        1.0922
  10  26 -161.00  -39.00        1.0321
  11  26 -159.00  -39.00        1.0100
  12  26 -157.00  -39.00        0.9879
  13  26 -155.00  -39.00        0.9659
  14  26 -153.00  -39.00        0.9426
  15  26 -151.00  -39.00        0.9192
  16  26 -149.00  -39.00        0.8732
  17  26 -147.00  -39.00        0.8478
  18  26 -145.00  -39.00        0.8224
  19  26 -143.00  -39.00        0.8291
  20  26 -141.00  -39.00        0.8703
  21  26 -139.00  -39.00        0.9114
  22  26 -137.00  -39.00        0.9909
  23  26 -135.00  -39.00        1.0190
  24  26 -133.00  -39.00        1.0471
  25  26 -131.00  -39.00        1.0409
  26  26 -129.00  -39.00        1.0154
  27  26 -127.00  -39.00        0.9900
  28  26 -125.00  -39.00        0.9423
  29  26 -123.00  -39.00        0.8972
  30  26 -121.00  -39.00        0.8521
  31  26 -119.00  -39.00        0.7733
  32  26 -117.00  -39.00        0.7642
  33  26 -115.00  -39.00        0.7551
  34  26 -113.00  -39.00        0.7788
  35  26 -111.00  -39.00        0.7829
  36  26 -109.00  -39.00        0.7871
  37  26 -107.00  -39.00        0.6738
  38  26 -105.00  -39.00        0.5628
  39  26 -103.00  -39.00        0.4519
  40  26 -101.00  -39.00        0.2873
  41  26  -99.00  -39.00        0.2168
  42  26  -97.00  -39.00        0.1463
  43  26  -95.00  -39.00        0.0952
  44  26  -93.00  -39.00        0.0478
  45  26  -91.00  -39.00        0.0004
  46  26  -89.00  -39.00       -0.0934
  47  26  -87.00  -39.00       -0.0035
  48  26  -85.00  -39.00        0.0864
  49  26  -83.00  -39.00        0.2477
  50  26  -81.00  -39.00        0.1871
  51  26  -79.00  -39.00        0.1264
  52  26  -77.00  -39.00       -0.0447
  53  26  -75.00  -39.00        0.3626
  54  26  -73.00  -39.00        0.7698
  55  26  -71.00  -39.00        0.8893
  56  26  -69.00  -39.00        0.9500
  57  26  -67.00  -39.00        1.0106
  58  26  -65.00  -39.00        1.1984
  59  26  -63.00  -39.00        1.2459
  60  26  -61.00  -39.00        1.2934
  61  26  -59.00  -39.00        1.6385
  62  26  -57.00  -39.00        1.6990
  63  26  -55.00  -39.00        1.7594
  64  26  -53.00  -39.00        1.5200
  65  26  -51.00  -39.00        1.3647
  66  26  -49.00  -39.00        1.2095
  67  26  -47.00  -39.00        1.1121
  68  26  -45.00  -39.00        1.1102
  69  26  -43.00  -39.00        1.1083
  70  26  -41.00  -39.00        1.1069
  71  26  -39.00  -39.00        1.0284
  72  26  -37.00  -39.00        0.9498
  73  26  -35.00  -39.00        0.8271
  74  26  -33.00  -39.00        0.8325
  75  26  -31.00  -39.00        0.8378
  76  26  -29.00  -39.00        0.8784
  77  26  -27.00  -39.00        0.9140
  78  26  -25.00  -39.00        0.9496
  79  26  -23.00  -39.00        1.0340
  80  26  -21.00  -39.00        1.0777
  81  26  -19.00  -39.00        1.1213
  82  26  -17.00  -39.00        1.1746
  83  26  -15.00  -39.00        1.2148
  84  26  -13.00  -39.00        1.2550
  85  26  -11.00  -39.00        1.7267
  86  26   -9.00  -39.00        1.4694
  87  26   -7.00  -39.00        1.2121
  88  26   -5.00  -39.00        1.0894
  89  26   -3.00  -39.00        1.0617
  90  26   -1.00  -39.00        1.0340
  91  26    1.00  -39.00        1.0034
  92  26    3.00  -39.00        1.0023
  93  26    5.00  -39.00        1.0013
  94  26    7.00  -39.00        1.0413
  95  26    9.00  -39.00        1.0862
  96  26   11.00  -39.00        1.1312
  97  26   13.00  -39.00        1.1422
  98  26   15.00  -39.00        1.0147
  99  26   17.00  -39.00        0.8872
 100  26   19.00  -39.00        0.6342
 101  26   21.00  -39.00        0.5543
 102  26   23.00  -39.00        0.4744
 103  26   25.00  -39.00        0.3251
 104  26   27.00  -39.00        0.3026
 105  26   29.00  -39.00        0.2801
 106  26   31.00  -39.00        0.3670
 107  26   33.00  -39.00        0.3576
 108  26   35.00  -39.00        0.3481
 109  26   37.00  -39.00        0.2748
 110  26   39.00  -39.00        0.2756
 111  26   41.00  -39.00        0.2763
 112  26   43.00  -39.00        0.2862
 113  26   45.00  -39.00        0.3190
 114  26   47.00  -39.00        0.3517
 115  26   49.00  -39.00        0.4961
 116  26   51.00  -39.00        0.6102
 117  26   53.00  -39.00        0.7244
 118  26   55.00  -39.00        0.8921
 119  26   57.00  -39.00        0.9923
 120  26   59.00  -39.00        1.0925
 121  26   61.00  -39.00        1.2363
 122  26   63.00  -39.00        1.3051
 123  26   65.00  -39.00        1.3740
 124  26   67.00  -39.00        1.4396
 125  26   69.00  -39.00        1.4273
 126  26   71.00  -39.00        1.4150
 127  26   73.00  -39.00        1.3697
 128  26   75.00  -39.00        1.3416
 129  26   77.00  -39.00        1.3134
 130  26   79.00  -39.00        1.2136
 131  26   81.00  -39.00        1.1023
 132  26   83.00  -39.00        0.9911
 133  26   85.00  -39.00        0.7786
 134  26   87.00  -39.00        0.6775
 135  26   89.00  -39.00        0.5765
 136  26   91.00  -39.00        0.4643
 137  26   93.00  -39.00        0.3898
 138  26   95.00  -39.00        0.3153
 139  26   97.00  -39.00        0.2156
 140  26   99.00  -39.00        0.1846
 141  26  101.00  -39.00        0.1535
 142  26  103.00  -39.00        0.1134
 143  26  105.00  -39.00        0.0666
 144  26  107.00  -39.00        0.0198
 145  26  109.00  -39.00       -0.0363
 146  26  111.00  -39.00       -0.0593
 147  26  113.00  -39.00       -0.0822
 148  26  115.00  -39.00       -0.0770
 149  26  117.00  -39.00       -0.0330
 150  26  119.00  -39.00        0.0111
 151  26  121.00  -39.00        0.0997
 152  26  123.00  -39.00        0.1339
 153  26  125.00  -39.00        0.1682
 154  26  127.00  -39.00        0.2487
 155  26  129.00  -39.00        0.3210
 156  26  131.00  -39.00        0.3932
 157  26  133.00  -39.00        0.5457
 158  26  135.00  -39.00        0.6285
 159  26  137.00  -39.00        0.7113
 160  26  139.00  -39.00        0.8082
 161  26  141.00  -39.00        0.5878
 162  26  143.00  -39.00        0.3675
 163  26  145.00  -39.00        0.2755
 164  26  147.00  -39.00        0.4824
 165  26  149.00  -39.00        0.6893
 166  26  151.00  -39.00        0.6885
 167  26  153.00  -39.00        0.6974
 168  26  155.00  -39.00        0.7063
 169  26  157.00  -39.00        0.7552
 170  26  159.00  -39.00        0.7981
 171  26  161.00  -39.00        0.8410
 172  26  163.00  -39.00        0.9205
 173  26  165.00  -39.00        0.9636
 174  26  167.00  -39.00        1.0068
 175  26  169.00  -39.00        1.0909
 176  26  171.00  -39.00        1.1555
 177  26  173.00  -39.00        1.2200
 178  26  175.00  -39.00        2.0006
 179  26  177.00  -39.00        2.1295
 180  26  179.00  -39.00        2.2583
   1  27 -179.00  -37.00        1.1420
   2  27 -177.00  -37.00        1.1617
   3  27 -175.00  -37.00        1.1815
   4  27 -173.00  -37.00        1.1844
   5  27 -171.00  -37.00        1.1884
   6  27 -169.00  -37.00        1.1923
   7  27 -167.00  -37.00        1.1967
   8  27 -165.00  -37.00        1.1871
   9  27 -163.00  -37.00        1.1774
  10  27 -161.00  -37.00        1.1476
  11  27 -159.00  -37.00        1.1319
  12  27 -157.00  -37.00        1.1163
  13  27 -155.00  -37.00        1.1048
  14  27 -153.00  -37.00        1.0999
  15  27 -151.00  -37.00        1.0949
  16  27 -149.00  -37.00        1.0766
  17  27 -147.00  -37.00        1.0711
  18  27 -145.00  -37.00        1.0655
  19  27 -143.00  -37.00        1.0985
  20  27 -141.00  -37.00        1.1524
  21  27 -139.00  -37.00        1.2062
  22  27 -137.00  -37.00        1.3129
  23  27 -135.00  -37.00        1.3546
  24  27 -133.00  -37.00        1.3963
  25  27 -131.00  -37.00        1.4029
  26  27 -129.00  -37.00        1.3713
  27  27 -127.00  -37.00        1.3396
  28  27 -125.00  -37.00        1.2463
  29  27 -123.00  -37.00        1.1787
  30  27 -121.00  -37.00        1.1110
  31  27 -119.00  -37.00        1.0088
  32  27 -117.00  -37.00        0.9713
  33  27 -115.00  -37.00        0.9338
  34  27 -113.00  -37.00        0.9192
  35  27 -111.00  -37.00        0.9231
  36  27 -109.00  -37.00        0.9269
  37  27 -107.00  -37.00        0.8384
  38  27 -105.00  -37.00        0.7220
  39  27 -103.00  -37.00        0.6055
  40  27 -101.00  -37.00        0.4056
  41  27  -99.00  -37.00        0.3154
  42  27  -97.00  -37.00        0.2252
  43  27  -95.00  -37.00        0.1456
  44  27  -93.00  -37.00        0.0938
  45  27  -91.00  -37.00        0.0421
  46  27  -89.00  -37.00       -0.0279
  47  27  -87.00  -37.00        0.0541
  48  27  -85.00  -37.00        0.1360
  49  27  -83.00  -37.00        0.2357
  50  27  -81.00  -37.00        0.1556
  51  27  -79.00  -37.00        0.0755
  52  27  -77.00  -37.00       -0.1390
  53  27  -75.00  -37.00        0.2685
  54  27  -73.00  -37.00        0.6760
  55  27  -71.00  -37.00        0.3493
  56  27  -69.00  -37.00        0.5582
  57  27  -67.00  -37.00        0.7672
  58  27  -65.00  -37.00        0.3739
  59  27  -63.00  -37.00        0.7047
  60  27  -61.00  -37.00        1.0356
  61  27  -59.00  -37.00        1.0839
  62  27  -57.00  -37.00        1.5890
  63  27  -55.00  -37.00        2.0942
  64  27  -53.00  -37.00        1.7681
  65  27  -51.00  -37.00        1.5087
  66  27  -49.00  -37.00        1.2493
  67  27  -47.00  -37.00        1.0310
  68  27  -45.00  -37.00        0.9884
  69  27  -43.00  -37.00        0.9458
  70  27  -41.00  -37.00        0.9082
  71  27  -39.00  -37.00        0.8433
  72  27  -37.00  -37.00        0.7784
  73  27  -35.00  -37.00        0.6660
  74  27  -33.00  -37.00        0.6773
  75  27  -31.00  -37.00        0.6885
  76  27  -29.00  -37.00        0.7822
  77  27  -27.00  -37.00        0.8390
  78  27  -25.00  -37.00        0.8957
  79  27  -23.00  -37.00        0.9662
  80  27  -21.00  -37.00        0.9953
  81  27  -19.00  -37.00        1.0244
  82  27  -17.00  -37.00        1.0620
  83  27  -15.00  -37.00        1.0915
  84  27  -13.00  -37.00        1.1210
  85  27  -11.00  -37.00        1.1401
  86  27   -9.00  -37.00        1.0956
  87  27   -7.00  -37.00        1.0511
  88  27   -5.00  -37.00        0.9264
  89  27   -3.00  -37.00        0.8933
  90  27   -1.00  -37.00        0.8602
  91  27    1.00  -37.00        0.8310
  92  27    3.00  -37.00        0.8414
  93  27    5.00  -37.00        0.8518
  94  27    7.00  -37.00        0.9349
  95  27    9.00  -37.00        1.0237
  96  27   11.00  -37.00        1.1124
  97  27   13.00  -37.00        1.1997
  98  27   15.00  -37.00        1.0964
  99  27   17.00  -37.00        0.9930
 100  27   19.00  -37.00        0.7091
 101  27   21.00  -37.00        0.6218
 102  27   23.00  -37.00        0.5346
 103  27   25.00  -37.00        0.4182
 104  27   27.00  -37.00        0.3989
 105  27   29.00  -37.00        0.3796
 106  27   31.00  -37.00        0.4268
 107  27   33.00  -37.00        0.4087
 108  27   35.00  -37.00        0.3907
 109  27   37.00  -37.00        0.3339
 110  27   39.00  -37.00        0.3369
 111  27   41.00  -37.00        0.3399
 112  27   43.00  -37.00        0.3548
 113  27   45.00  -37.00        0.3842
 114  27   47.00  -37.00        0.4136
 115  27   49.00  -37.00        0.5288
 116  27   51.00  -37.00        0.6247
 117  27   53.00  -37.00        0.7206
 118  27   55.00  -37.00        0.8958
 119  27   57.00  -37.00        1.0228
 120  27   59.00  -37.00        1.1499
 121  27   61.00  -37.00        1.3259
 122  27   63.00  -37.00        1.4085
 123  27   65.00  -37.00        1.4912
 124  27   67.00  -37.00        1.5751
 125  27   69.00  -37.00        1.5749
 126  27   71.00  -37.00        1.5746
 127  27   73.00  -37.00        1.5090
 128  27   75.00  -37.00        1.4698
 129  27   77.00  -37.00        1.4305
 130  27   79.00  -37.00        1.3410
 131  27   81.00  -37.00        1.2213
 132  27   83.00  -37.00        1.1016
 133  27   85.00  -37.00        0.8532
 134  27   87.00  -37.00        0.7499
 135  27   89.00  -37.00        0.6466
 136  27   91.00  -37.00        0.5323
 137  27   93.00  -37.00        0.4534
 138  27   95.00  -37.00        0.3744
 139  27   97.00  -37.00        0.2771
 140  27   99.00  -37.00        0.2501
 141  27  101.00  -37.00        0.2231
 142  27  103.00  -37.00        0.1611
 143  27  105.00  -37.00        0.0997
 144  27  107.00  -37.00        0.0382
 145  27  109.00  -37.00       -0.0400
 146  27  111.00  -37.00       -0.0969
 147  27  113.00  -37.00       -0.1538
 148  27  115.00  -37.00       -0.1978
 149  27  117.00  -37.00       -0.1539
 150  27  119.00  -37.00       -0.1099
 151  27  121.00  -37.00       -0.0167
 152  27  123.00  -37.00        0.0361
 153  27  125.00  -37.00        0.0889
 154  27  127.00  -37.00        0.2067
 155  27  129.00  -37.00        0.2898
 156  27  131.00  -37.00        0.3728
 157  27  133.00  -37.00        0.5263
 158  27  135.00  -37.00        0.4659
 159  27  137.00  -37.00        0.4056
 160  27  139.00  -37.00        0.2323
 161  27  141.00  -37.00        0.2132
 162  27  143.00  -37.00        0.1940
 163  27  145.00  -37.00        0.0056
 164  27  147.00  -37.00       -0.0216
 165  27  149.00  -37.00       -0.0487
 166  27  151.00  -37.00        0.6189
 167  27  153.00  -37.00        0.6214
 168  27  155.00  -37.00        0.6238
 169  27  157.00  -37.00        0.6655
 170  27  159.00  -37.00        0.7142
 171  27  161.00  -37.00        0.7629
 172  27  163.00  -37.00        0.8641
 173  27  165.00  -37.00        0.9140
 174  27  167.00  -37.00        0.9640
 175  27  169.00  -37.00        1.0502
 176  27  171.00  -37.00        1.0995
 177  27  173.00  -37.00        1.1489
 178  27  175.00  -37.00        2.3153
 179  27  177.00  -37.00        1.8492
 180  27  179.00  -37.00        1.3831
   1  28 -179.00  -35.00        1.1455
   2  28 -177.00  -35.00        1.1732
   3  28 -175.00  -35.00        1.2009
   4  28 -173.00  -35.00        1.2123
   5  28 -171.00  -35.00        1.2196
   6  28 -169.00  -35.00        1.2270
   7  28 -167.00  -35.00        1.2407
   8  28 -165.00  -35.00        1.2499
   9  28 -163.00  -35.00        1.2591
  10  28 -161.00  -35.00        1.2565
  11  28 -159.00  -35.00        1.2483
  12  28 -157.00  -35.00        1.2402
  13  28 -155.00  -35.00        1.2392
  14  28 -153.00  -35.00        1.2515
  15  28 -151.00  -35.00        1.2638
  16  28 -149.00  -35.00        1.2681
  17  28 -147.00  -35.00        1.2869
  18  28 -145.00  -35.00        1.3056
  19  28 -143.00  -35.00        1.3635
  20  28 -141.00  -35.00        1.4274
  21  28 -139.00  -35.00        1.4913
  22  28 -137.00  -35.00        1.6190
